,latitude,longitude,neighborhood,rent
0,47.5754629,-122.4106578,Alki,2378.0
1,38.8570833,-77.116793,Arbor Heights,2116.333333333333
2,41.4036007,-95.0138776,Atlantic,2513.7320099255585
3,32.8961687,-96.80294049999999,Ballard,2192.112804878049
4,42.3587999,-71.0707389,Beacon Hill,2197.0
5,47.6147023,-122.3447964,Belltown,2348.106983655275
6,47.7195811,-122.3495154,Bitter Lake,1542.8354430379748
7,41.1402322,-73.840231,Briarcliff,5395.0
8,40.598019,-111.583187,Brighton,1776.4642857142858
9,41.8639201,-87.85339309999999,Broadview,1930.8
10,37.2261619,-95.7066614,Bryant,2056.0
11,47.4938036,-122.2382307,Bryn Mawr-Skyway,1779.85
12,38.8860434,-76.999525,Capitol Hill,2288.593673965937
13,47.61631209999999,-122.3212035,Central Seattle,2345.7894736842104
14,37.7941378,-122.4077914,Chinatown,1309.0392156862745
15,47.5607961,-122.2869617,Columbia City,1856.086206896552
16,36.191163,-95.991591,Crown Hill,2003.75
17,47.6159365,-122.3409249,Denny Triangle,3757.048744460857
18,47.6050242,-122.3343709,Downtown Seattle,2623.414634146341
19,35.3714575,-85.3905209,Dunlap,1429.142857142857
20,38.8266082,-104.7816323,Eastlake,1856.4074074074076
21,37.7127054,-97.29159,Fairmount Park,2076.590163934426
22,43.0342483,-87.9058526,Fauntleroy,3400.0
23,47.609369,-122.3250359,First Hill,2424.286212914485
24,37.5485396,-121.988583,Fremont,2182.205882352941
25,36.5768247,-91.0896886,Gatewood,1500.0
26,39.689746,-105.2691599,Genesee,2067.9163346613545
27,38.9076089,-77.07225849999999,Georgetown,1572.5
28,47.6798338,-122.3257826,Green Lake,2179.3574879227053
29,39.6136578,-86.10665259999999,Greenwood,1671.2025316455695
30,47.7200271,-122.3338898,Haller Lake,1750.0
31,47.6214746,-122.2864809,Harrison/Denny Blaine,3400.0
32,35.9556923,-80.0053176,High Point,1858.058823529412
33,42.1816918,-87.8003437,Highland Park,1922.7586206896551
34,40.7479925,-74.0047649,Highline,1635.6734693877552
35,47.6406735,-122.3821101,Interbay,2156.46875
36,30.4893555,-99.7720109,Junction,1872.333333333333
37,38.02999670000001,-107.3153335,Lake City,1777.9125
38,47.63962859999999,-122.3332684,Lake Union,2637.3863636363635
39,45.5264614,-122.6230295,Laurelhurst,1350.0
40,47.654739,-122.3955507,Lawton Park,1973.3658536585365
41,47.6003094,-122.2928109,Leschi,3473.333333333333
42,47.624604,-122.3567229,Lower Queen Anne,2735.381282495667
43,47.6822459,-122.3851318,Loyal Heights,1467.5
44,36.1469065,-95.86682560000001,Madison Park,3385.0
45,37.22358699999999,-95.706663,Magnolia,2663.333333333333
46,37.0330223,-95.62822469999999,Mann,1167.92
47,47.6958402,-122.3175976,Maple Leaf,1809.842105263158
48,36.7459571,-95.97609080000001,Minor,2069.1060606060605
49,48.8572916,-121.6666619,Mt Baker,2625.5
50,47.5811956,-122.3865523,North Admiral,2059.6111111111113
51,47.69827859999999,-122.3865212,North Beach/ Blue Ridge,1695.0
52,47.5794213,-122.3113231,North Beacon Hill,2388.694444444445
53,47.6977837,-122.3376415,North College Park,1601.948717948718
54,47.5623473,-122.3654777,North Delridge,1947.7714285714285
55,47.676095,-122.3542454,Phinney Ridge,3745.0
56,47.6085806,-122.3406001,Pike Place Market,3566.122807017544
57,35.1954345,-79.4694767,Pinehurst,1458.5384615384617
58,47.6015184,-122.3342975,Pioneer Square,1562.336
59,47.621843,-122.3374189,Portage Bay,1707.75
60,47.6323268,-122.3568641,Queen Anne,2329.8636363636365
61,47.512255,-122.2639761,Rainier Beach,1545.0
62,44.4183598,12.2035294,Ravenna,1490.0
63,47.4796927,-122.2079218,Renton,1230.6666666666667
64,27.8661364,-82.32648089999999,Riverview,2750.0
65,37.0370059,-95.6316358,Roosevelt,1574.6753731343285
66,47.5328586,-122.3747828,Roxhill,1670.857142857143
67,47.4435903,-122.2960726,Seatac,1681.333333333333
68,47.6062095,-122.3320708,Seattle,2102.3424124513613
69,47.5522898,-122.3929911,Seaview Seattle,2103.0
70,47.5496046,-122.2573574,Seward Park,1450.0
71,47.7448201,-122.2881822,Sheridan Beach,1765.1363636363635
72,47.7559659,-122.3456972,Shoreline,1688.333333333333
73,47.526912,-122.3606824,South Delridge,1807.0681818181815
74,47.6255703,-122.3343877,South Lake Union,2941.0090684253914
75,38.9618867,-95.23511780000001,South Park,1395.0
76,47.49565459999999,-122.309291,Southern Heights-Boulevard Park,1674.4395604395606
77,40.7450708,-74.0248269,Stevens,1516.1475409836066
78,47.4591564,-122.2453357,Tukwila Urban Center,3023.857142857143
79,47.6627771,-122.3138767,University District,1936.356862745098
80,41.4570108,-72.8230736,Wallingford,2510.8
81,36.0742414,-95.9773886,Wedgewood,1149.4150197628458
82,47.5666668,-122.3867537,West Seattle,1652.642857142857
83,47.6686892,-122.366196,West Woodland,2491.25
84,32.991235,-97.19501380000001,Westlake,2358.9205298013244
85,47.5085671,-122.3551164,White Center,1150.2
86,47.6830586,-122.3695139,Whittier Heights,1771.9130434782608
